,age,job,marital,education,housing,contact,month,day_of_week,duration,previous,poutcome,y,Promotion
0,3,3,1,0,0,1,6,1,3,0,1,0,Received
1,3,7,1,3,0,1,6,1,2,0,1,0,Not Received
2,2,7,1,3,2,1,6,1,3,0,1,0,Received
3,2,0,1,1,0,1,6,1,2,0,1,0,Not Received
4,3,7,1,3,0,1,6,1,3,0,1,0,Received
5,2,7,1,2,0,1,6,1,3,0,1,0,Received
6,3,0,1,5,0,1,6,1,2,0,1,0,Not Received
7,2,1,1,7,0,1,6,1,3,0,1,0,Received
8,1,9,2,5,2,1,6,1,4,0,1,0,Received
9,1,7,2,3,2,1,6,1,1,0,1,0,Not Received
10,2,1,1,7,0,1,6,1,1,0,1,0,Not Received
11,1,7,2,3,2,1,6,1,3,0,1,0,Received
12,1,1,2,3,0,1,6,1,2,0,1,0,Not Received
13,3,3,0,0,2,1,6,1,3,0,1,0,Received
14,2,1,1,1,2,1,6,1,2,0,1,0,Not Received
15,3,5,1,2,2,1,6,1,2,0,1,0,Not Received
16,2,1,1,1,2,1,6,1,3,0,1,0,Received
17,2,1,1,1,2,1,6,1,4,0,1,0,Received
18,3,1,1,2,2,1,6,1,4,0,1,0,Received
19,2,4,2,2,0,1,6,1,3,0,1,0,Received
20,1,10,1,3,0,1,6,1,1,0,1,0,Not Received
21,3,1,1,0,2,1,6,1,3,0,1,0,Received
22,3,5,2,3,2,1,6,1,4,0,1,0,Received
23,2,9,2,3,2,1,6,1,3,0,1,0,Received
24,2,0,1,3,2,1,6,1,2,0,1,0,Not Received
25,2,9,1,6,0,1,6,1,1,0,1,0,Not Received
26,3,9,1,7,2,1,6,1,1,0,1,0,Not Received
27,2,6,1,2,0,1,6,1,3,0,1,0,Received
28,3,9,2,6,0,1,6,1,3,0,1,0,Received
29,3,11,1,6,1,1,6,1,4,0,1,0,Received
30,2,0,1,7,0,1,6,1,4,0,1,0,Received
31,3,9,1,7,2,1,6,1,4,0,1,0,Received
32,3,1,1,7,0,1,6,1,1,0,1,0,Not Received
33,3,4,1,0,2,1,6,1,3,0,1,0,Received
34,3,1,0,0,0,1,6,1,3,0,1,0,Received
35,3,11,1,0,2,1,6,1,4,0,1,0,Received
36,2,7,1,3,0,1,6,1,4,0,1,0,Received
37,3,9,1,2,2,1,6,1,5,0,1,0,Received
38,2,0,1,6,2,1,6,1,4,0,1,0,Received
39,3,9,1,0,2,1,6,1,2,0,1,0,Not Received
40,3,4,3,6,2,1,6,1,4,0,1,0,Received
41,1,2,1,3,2,1,6,1,3,0,1,0,Received
42,2,0,2,5,0,1,6,1,2,0,1,0,Not Received
43,3,0,1,6,0,1,6,1,3,0,1,0,Received
44,2,0,1,6,2,1,6,1,3,0,1,0,Received
45,2,9,2,5,0,1,6,1,1,0,1,0,Not Received
46,3,0,1,6,2,1,6,1,4,0,1,0,Received
47,2,1,1,2,0,1,6,1,2,0,1,0,Not Received
48,2,0,1,6,2,1,6,1,4,0,1,0,Received
49,2,1,1,2,2,1,6,1,3,0,1,0,Received
50,3,0,1,3,0,1,6,1,2,0,1,0,Not Received
51,2,3,1,0,0,1,6,1,3,0,1,0,Received
52,3,0,1,3,0,1,6,1,3,0,1,0,Received
53,3,0,2,5,0,1,6,1,2,0,1,0,Not Received
54,3,1,1,0,0,1,6,1,3,0,1,0,Received
55,3,9,1,5,2,1,6,1,2,0,1,0,Not Received
56,3,4,1,6,0,1,6,1,2,0,1,0,Not Received
57,2,7,1,3,2,1,6,1,5,0,1,0,Received
58,3,10,1,5,2,1,6,1,2,0,1,0,Not Received
59,1,9,2,6,2,1,6,1,2,0,1,0,Not Received
60,2,2,1,6,0,1,6,1,4,0,1,0,Received
61,3,1,1,2,2,1,6,1,5,0,1,0,Received
62,2,1,1,1,2,1,6,1,2,0,1,0,Not Received
63,2,1,1,1,0,1,6,1,4,0,1,0,Received
64,3,0,1,3,0,1,6,1,4,0,1,0,Received
65,2,0,1,6,0,1,6,1,3,0,1,0,Received
66,2,1,2,2,2,1,6,1,1,0,1,0,Not Received
67,2,0,1,7,2,1,6,1,3,0,1,0,Received
68,3,0,1,2,2,1,6,1,2,0,1,0,Not Received
69,2,1,2,0,2,1,6,1,2,0,1,0,Not Received
70,2,4,1,1,0,1,6,1,3,0,1,0,Received
