,age,job,marital,education,housing,contact,month,day_of_week,duration,previous,poutcome,y,Promotion
0,3,7,1,1,2,0,7,4,5,0,1,0,1
1,3,9,1,5,2,0,3,2,1,0,1,0,0
2,1,1,2,0,0,0,7,2,2,0,1,0,0
3,1,7,1,5,0,1,6,1,3,0,1,0,1
4,1,1,2,3,2,0,6,2,3,0,1,0,1
5,3,0,1,6,2,0,1,4,3,0,1,0,1
6,2,0,1,6,0,0,7,0,2,0,1,0,0
7,2,0,2,6,0,0,3,0,1,0,1,0,0
8,2,0,1,6,1,0,3,1,2,0,1,0,0
9,1,9,2,5,2,0,3,3,2,0,1,0,0
10,2,7,1,2,2,1,6,4,4,0,1,0,1
11,3,3,1,3,2,0,0,2,1,0,1,0,0
12,3,9,1,7,1,1,4,2,3,0,1,0,1
13,2,4,2,6,2,1,7,4,2,1,2,0,0
14,1,1,0,3,2,0,3,4,1,0,1,0,0
15,1,9,2,5,2,1,6,0,3,0,1,0,1
16,1,7,1,7,0,1,6,0,2,0,1,0,0
17,2,0,1,3,2,1,6,4,1,0,1,0,0
18,2,7,1,3,0,1,6,3,1,0,1,0,0
19,3,9,1,7,0,0,7,1,4,1,2,0,1
20,1,1,1,5,0,1,4,0,1,0,1,0,0
21,1,7,1,5,2,0,7,4,4,0,1,1,1
22,1,0,1,6,2,0,6,1,2,0,1,0,0
23,3,5,1,7,1,1,6,3,2,0,1,0,0
24,2,3,0,6,0,1,6,2,5,0,1,0,1
25,3,0,1,3,0,1,6,2,1,0,1,0,0
26,3,1,1,1,1,0,1,2,2,0,1,0,0
27,2,4,1,6,2,0,6,4,2,0,1,0,0
28,2,10,1,2,0,1,4,0,2,0,1,0,0
29,3,9,1,5,0,1,4,1,4,0,1,0,1
30,2,0,1,3,2,0,1,4,1,0,1,0,0
31,1,8,2,3,2,0,6,1,4,0,1,0,1
32,2,1,1,1,2,1,6,3,4,0,1,0,1
33,2,7,1,2,0,1,6,4,3,0,1,0,1
34,2,0,2,3,2,0,7,2,2,0,1,0,0
35,2,0,2,3,2,1,6,2,5,0,1,1,1
36,1,6,1,5,0,1,6,1,3,0,1,0,1
37,3,7,1,0,2,0,0,2,3,0,1,0,1
38,2,0,1,3,2,0,3,0,5,0,1,1,1
39,2,0,1,6,0,1,4,2,1,0,1,0,0
40,2,0,1,3,2,0,6,0,1,1,2,0,0
41,3,4,1,2,2,0,6,3,5,0,1,1,1
42,2,7,1,3,0,1,6,0,2,0,1,0,0
43,2,0,0,6,0,0,1,2,3,0,1,0,1
44,3,3,1,0,2,0,4,3,3,0,1,1,1
45,1,1,1,2,2,0,6,0,1,0,1,0,0
46,2,9,2,5,0,0,0,2,4,1,2,0,1
47,2,1,1,0,2,0,7,1,2,0,1,0,0
48,2,0,1,6,2,0,1,1,1,0,1,0,0
49,2,0,2,3,0,1,6,4,2,0,1,0,0
50,1,9,1,7,2,0,3,0,2,0,1,0,0
51,2,1,1,5,0,0,3,1,3,0,1,0,1
52,3,1,1,3,2,1,6,4,5,0,1,0,1
53,1,7,0,3,2,0,6,0,4,0,1,0,1
54,2,0,1,6,2,1,4,1,2,0,1,0,0
55,4,5,0,0,2,0,8,1,2,1,3,0,0
56,3,0,0,3,2,0,0,0,1,0,1,0,0
57,2,1,1,2,0,0,0,1,1,0,1,0,0
58,1,0,0,6,0,1,6,2,3,0,1,0,1
59,2,7,1,1,2,0,3,1,4,0,1,0,1
60,2,9,1,5,0,1,6,1,4,0,1,0,1
61,2,4,2,6,2,0,7,3,2,1,2,0,0
62,2,9,2,6,2,0,1,2,1,0,1,0,0
63,3,0,1,6,0,0,7,3,3,1,2,0,1
64,2,1,1,7,2,0,3,1,3,0,1,0,1
65,2,1,1,0,0,0,7,2,1,1,2,0,0
66,1,0,2,6,2,0,1,3,2,0,1,0,0
67,2,1,2,0,2,1,6,1,3,0,1,0,1
68,1,0,2,6,2,0,3,3,2,0,1,0,0
69,2,1,1,0,2,1,6,3,3,0,1,0,1
