,Unnamed: 0,age,job,marital,education,housing,contact,month,day_of_week,duration,previous,poutcome,y,Promotion
0,0,3,7,1,1,2,0,7,4,5,0,1,0,Yes
1,1,3,9,1,5,2,0,3,2,1,0,1,0,No
2,2,1,1,2,0,0,0,7,2,2,0,1,0,No
3,3,1,7,1,5,0,1,6,1,3,0,1,0,Yes
4,4,1,1,2,3,2,0,6,2,3,0,1,0,Yes
5,5,3,0,1,6,2,0,1,4,3,0,1,0,Yes
6,6,2,0,1,6,0,0,7,0,2,0,1,0,No
7,7,2,0,2,6,0,0,3,0,1,0,1,0,No
8,8,2,0,1,6,1,0,3,1,2,0,1,0,No
9,9,1,9,2,5,2,0,3,3,2,0,1,0,No
10,10,2,7,1,2,2,1,6,4,4,0,1,0,Yes
11,11,3,3,1,3,2,0,0,2,1,0,1,0,No
12,12,3,9,1,7,1,1,4,2,3,0,1,0,Yes
13,13,2,4,2,6,2,1,7,4,2,1,2,0,No
14,14,1,1,0,3,2,0,3,4,1,0,1,0,No
15,15,1,9,2,5,2,1,6,0,3,0,1,0,Yes
16,16,1,7,1,7,0,1,6,0,2,0,1,0,No
17,17,2,0,1,3,2,1,6,4,1,0,1,0,No
18,18,2,7,1,3,0,1,6,3,1,0,1,0,No
19,19,3,9,1,7,0,0,7,1,4,1,2,0,Yes
20,20,1,1,1,5,0,1,4,0,1,0,1,0,No
21,21,1,7,1,5,2,0,7,4,4,0,1,1,Yes
22,22,1,0,1,6,2,0,6,1,2,0,1,0,No
23,23,3,5,1,7,1,1,6,3,2,0,1,0,No
24,24,2,3,0,6,0,1,6,2,5,0,1,0,Yes
25,25,3,0,1,3,0,1,6,2,1,0,1,0,No
26,26,3,1,1,1,1,0,1,2,2,0,1,0,No
27,27,2,4,1,6,2,0,6,4,2,0,1,0,No
28,28,2,10,1,2,0,1,4,0,2,0,1,0,No
29,29,3,9,1,5,0,1,4,1,4,0,1,0,Yes
30,30,2,0,1,3,2,0,1,4,1,0,1,0,No
31,31,1,8,2,3,2,0,6,1,4,0,1,0,Yes
32,32,2,1,1,1,2,1,6,3,4,0,1,0,Yes
33,33,2,7,1,2,0,1,6,4,3,0,1,0,Yes
34,34,2,0,2,3,2,0,7,2,2,0,1,0,No
35,35,2,0,2,3,2,1,6,2,5,0,1,1,Yes
36,36,1,6,1,5,0,1,6,1,3,0,1,0,Yes
37,37,3,7,1,0,2,0,0,2,3,0,1,0,Yes
38,38,2,0,1,3,2,0,3,0,5,0,1,1,Yes
39,39,2,0,1,6,0,1,4,2,1,0,1,0,No
40,40,2,0,1,3,2,0,6,0,1,1,2,0,No
41,41,3,4,1,2,2,0,6,3,5,0,1,1,Yes
42,42,2,7,1,3,0,1,6,0,2,0,1,0,No
43,43,2,0,0,6,0,0,1,2,3,0,1,0,Yes
44,44,3,3,1,0,2,0,4,3,3,0,1,1,Yes
45,45,1,1,1,2,2,0,6,0,1,0,1,0,No
46,46,2,9,2,5,0,0,0,2,4,1,2,0,Yes
47,47,2,1,1,0,2,0,7,1,2,0,1,0,No
48,48,2,0,1,6,2,0,1,1,1,0,1,0,No
49,49,2,0,2,3,0,1,6,4,2,0,1,0,No
50,50,1,9,1,7,2,0,3,0,2,0,1,0,No
51,51,2,1,1,5,0,0,3,1,3,0,1,0,Yes
52,52,3,1,1,3,2,1,6,4,5,0,1,0,Yes
53,53,1,7,0,3,2,0,6,0,4,0,1,0,Yes
54,54,2,0,1,6,2,1,4,1,2,0,1,0,No
55,55,4,5,0,0,2,0,8,1,2,1,3,0,No
56,56,3,0,0,3,2,0,0,0,1,0,1,0,No
57,57,2,1,1,2,0,0,0,1,1,0,1,0,No
58,58,1,0,0,6,0,1,6,2,3,0,1,0,Yes
59,59,2,7,1,1,2,0,3,1,4,0,1,0,Yes
60,60,2,9,1,5,0,1,6,1,4,0,1,0,Yes
61,61,2,4,2,6,2,0,7,3,2,1,2,0,No
62,62,2,9,2,6,2,0,1,2,1,0,1,0,No
63,63,3,0,1,6,0,0,7,3,3,1,2,0,Yes
64,64,2,1,1,7,2,0,3,1,3,0,1,0,Yes
65,65,2,1,1,0,0,0,7,2,1,1,2,0,No
66,66,1,0,2,6,2,0,1,3,2,0,1,0,No
67,67,2,1,2,0,2,1,6,1,3,0,1,0,Yes
68,68,1,0,2,6,2,0,3,3,2,0,1,0,No
69,69,2,1,1,0,2,1,6,3,3,0,1,0,Yes
70,70,2,0,1,6,2,0,9,4,5,0,1,0,Yes
71,71,2,7,1,7,0,1,4,2,1,0,1,0,No
72,72,3,0,1,7,0,0,4,3,3,0,1,1,Yes
73,73,1,9,2,5,2,0,4,3,3,0,1,0,Yes
