,age,job,marital,education,housing,contact,month,day_of_week,duration,previous,poutcome,y,Promotion
0,3,7,1,1,2,0,7,4,5,0,1,0,Received
1,3,9,1,5,2,0,3,2,1,0,1,0,Not Received
2,1,1,2,0,0,0,7,2,2,0,1,0,Not Received
3,1,7,1,5,0,1,6,1,3,0,1,0,Received
4,1,1,2,3,2,0,6,2,3,0,1,0,Received
5,3,0,1,6,2,0,1,4,3,0,1,0,Received
6,2,0,1,6,0,0,7,0,2,0,1,0,Not Received
7,2,0,2,6,0,0,3,0,1,0,1,0,Not Received
8,2,0,1,6,1,0,3,1,2,0,1,0,Not Received
9,1,9,2,5,2,0,3,3,2,0,1,0,Not Received
10,2,7,1,2,2,1,6,4,4,0,1,0,Received
11,3,3,1,3,2,0,0,2,1,0,1,0,Not Received
12,3,9,1,7,1,1,4,2,3,0,1,0,Received
13,2,4,2,6,2,1,7,4,2,1,2,0,Not Received
14,1,1,0,3,2,0,3,4,1,0,1,0,Not Received
15,1,9,2,5,2,1,6,0,3,0,1,0,Received
16,1,7,1,7,0,1,6,0,2,0,1,0,Not Received
17,2,0,1,3,2,1,6,4,1,0,1,0,Not Received
18,2,7,1,3,0,1,6,3,1,0,1,0,Not Received
19,3,9,1,7,0,0,7,1,4,1,2,0,Received
20,1,1,1,5,0,1,4,0,1,0,1,0,Not Received
21,1,7,1,5,2,0,7,4,4,0,1,1,Received
22,1,0,1,6,2,0,6,1,2,0,1,0,Not Received
23,3,5,1,7,1,1,6,3,2,0,1,0,Not Received
24,2,3,0,6,0,1,6,2,5,0,1,0,Received
25,3,0,1,3,0,1,6,2,1,0,1,0,Not Received
26,3,1,1,1,1,0,1,2,2,0,1,0,Not Received
27,2,4,1,6,2,0,6,4,2,0,1,0,Not Received
28,2,10,1,2,0,1,4,0,2,0,1,0,Not Received
29,3,9,1,5,0,1,4,1,4,0,1,0,Received
30,2,0,1,3,2,0,1,4,1,0,1,0,Not Received
31,1,8,2,3,2,0,6,1,4,0,1,0,Received
32,2,1,1,1,2,1,6,3,4,0,1,0,Received
33,2,7,1,2,0,1,6,4,3,0,1,0,Received
34,2,0,2,3,2,0,7,2,2,0,1,0,Not Received
35,2,0,2,3,2,1,6,2,5,0,1,1,Received
36,1,6,1,5,0,1,6,1,3,0,1,0,Received
37,3,7,1,0,2,0,0,2,3,0,1,0,Received
38,2,0,1,3,2,0,3,0,5,0,1,1,Received
39,2,0,1,6,0,1,4,2,1,0,1,0,Not Received
40,2,0,1,3,2,0,6,0,1,1,2,0,Not Received
41,3,4,1,2,2,0,6,3,5,0,1,1,Received
42,2,7,1,3,0,1,6,0,2,0,1,0,Not Received
43,2,0,0,6,0,0,1,2,3,0,1,0,Received
44,3,3,1,0,2,0,4,3,3,0,1,1,Received
45,1,1,1,2,2,0,6,0,1,0,1,0,Not Received
46,2,9,2,5,0,0,0,2,4,1,2,0,Received
47,2,1,1,0,2,0,7,1,2,0,1,0,Not Received
48,2,0,1,6,2,0,1,1,1,0,1,0,Not Received
49,2,0,2,3,0,1,6,4,2,0,1,0,Not Received
50,1,9,1,7,2,0,3,0,2,0,1,0,Not Received
51,2,1,1,5,0,0,3,1,3,0,1,0,Received
52,3,1,1,3,2,1,6,4,5,0,1,0,Received
53,1,7,0,3,2,0,6,0,4,0,1,0,Received
54,2,0,1,6,2,1,4,1,2,0,1,0,Not Received
55,4,5,0,0,2,0,8,1,2,1,3,0,Not Received
56,3,0,0,3,2,0,0,0,1,0,1,0,Not Received
57,2,1,1,2,0,0,0,1,1,0,1,0,Not Received
58,1,0,0,6,0,1,6,2,3,0,1,0,Received
59,2,7,1,1,2,0,3,1,4,0,1,0,Received
60,2,9,1,5,0,1,6,1,4,0,1,0,Received
61,2,4,2,6,2,0,7,3,2,1,2,0,Not Received
62,2,9,2,6,2,0,1,2,1,0,1,0,Not Received
63,3,0,1,6,0,0,7,3,3,1,2,0,Received
64,2,1,1,7,2,0,3,1,3,0,1,0,Received
65,2,1,1,0,0,0,7,2,1,1,2,0,Not Received
66,1,0,2,6,2,0,1,3,2,0,1,0,Not Received
67,2,1,2,0,2,1,6,1,3,0,1,0,Received
68,1,0,2,6,2,0,3,3,2,0,1,0,Not Received
69,2,1,1,0,2,1,6,3,3,0,1,0,Received
70,2,0,1,6,2,0,9,4,5,0,1,0,Received
71,2,7,1,7,0,1,4,2,1,0,1,0,Not Received
72,3,0,1,7,0,0,4,3,3,0,1,1,Received
73,1,9,2,5,2,0,4,3,3,0,1,0,Received
74,3,3,0,5,2,0,7,1,5,5,3,1,Received
75,1,1,1,2,2,0,0,2,2,0,1,0,Not Received
76,2,0,0,3,0,0,3,1,5,0,1,1,Received
77,1,8,2,3,0,0,5,0,3,0,1,1,Received
78,2,7,1,3,0,1,3,4,1,0,1,0,Not Received
79,3,1,1,0,0,0,6,0,2,0,1,0,Not Received
80,3,6,1,2,0,0,6,2,3,0,1,0,Received
81,2,3,1,6,2,0,1,2,2,0,1,0,Not Received
82,2,1,1,0,2,0,1,2,3,0,1,0,Received
83,1,7,2,2,2,1,6,3,1,0,1,0,Not Received
84,1,0,1,6,2,0,1,2,1,0,1,0,Not Received
85,2,6,1,6,0,0,7,4,3,0,1,0,Received
86,3,5,1,0,2,1,4,3,2,0,1,0,Not Received
87,2,2,1,6,2,0,3,2,4,0,1,1,Received
88,1,9,1,2,2,0,6,0,1,0,1,0,Not Received
89,1,0,2,6,2,0,7,0,1,0,1,0,Not Received
90,2,9,1,5,0,1,4,4,2,0,1,0,Not Received
91,1,0,0,6,2,0,1,1,4,0,1,0,Received
92,1,6,2,6,0,1,4,1,4,0,1,0,Received
93,2,10,1,2,2,0,0,1,3,0,1,0,Received
94,3,2,1,3,0,0,7,2,3,0,1,0,Received
95,3,1,1,1,0,0,1,2,2,0,1,0,Not Received
96,2,1,2,3,0,0,5,4,3,0,1,1,Received
97,3,9,1,7,0,0,0,0,4,0,1,1,Received
98,2,0,2,6,2,0,5,1,3,4,2,0,Received
99,2,9,1,5,2,0,3,4,3,0,1,0,Received
100,1,8,2,2,2,0,6,1,3,0,1,0,Received
101,2,9,0,7,2,1,6,4,4,0,1,0,Received
102,3,0,1,6,2,1,3,2,4,0,1,1,Received
103,2,3,1,0,0,1,6,4,4,0,1,1,Received
104,1,9,0,3,2,1,4,3,2,0,1,0,Not Received
105,2,9,2,5,2,0,1,3,2,0,1,0,Not Received
106,2,9,2,5,0,0,0,4,4,0,1,0,Received
107,3,1,1,1,2,0,1,0,4,0,1,0,Received
108,2,0,1,3,0,0,6,4,2,1,2,0,Not Received
109,2,7,1,3,2,1,4,0,3,0,1,0,Received
110,2,0,0,3,2,0,3,4,3,0,1,0,Received
111,1,0,2,3,2,1,4,4,3,1,2,0,Received
112,1,7,1,3,2,0,7,3,2,0,1,0,Not Received
113,1,1,1,2,2,1,6,3,3,0,1,0,Received
114,2,2,1,6,0,1,4,0,1,0,1,0,Not Received
115,3,1,1,5,0,0,6,0,1,0,1,0,Not Received
116,2,10,1,5,0,1,4,0,2,0,1,0,Not Received
117,1,4,2,6,2,0,6,1,4,0,1,1,Received
118,2,4,1,0,0,1,4,4,1,0,1,0,Not Received
119,1,0,2,3,2,0,6,2,1,1,2,0,Not Received
120,2,2,2,6,2,1,4,0,1,0,1,0,Not Received
121,3,0,1,3,0,1,6,3,2,0,1,0,Not Received
122,2,2,0,5,0,0,3,2,1,0,1,0,Not Received
123,2,1,1,7,2,0,3,3,1,0,1,0,Not Received
124,3,5,1,3,2,0,1,4,4,0,1,1,Received
125,3,0,1,0,2,0,3,3,2,0,1,0,Not Received
126,1,9,1,5,0,0,3,1,3,0,1,0,Received
127,2,2,1,2,2,0,7,3,1,1,2,0,Not Received
128,4,5,0,0,0,0,4,0,4,0,1,1,Received
129,1,1,2,2,0,0,3,4,1,0,1,0,Not Received
130,2,2,1,6,2,1,4,0,4,0,1,0,Received
131,3,2,1,6,2,1,4,2,1,0,1,0,Not Received
132,3,5,0,0,2,1,6,4,2,0,1,0,Not Received
133,2,4,1,6,0,0,4,2,3,0,1,1,Received
134,2,1,2,1,2,1,6,4,2,0,1,0,Not Received
135,1,9,2,6,2,0,1,4,2,0,1,0,Not Received
136,2,1,1,0,2,0,3,2,3,0,1,0,Received
137,1,1,2,3,2,0,3,0,3,0,1,0,Received
138,1,9,2,5,2,0,1,2,1,0,1,0,Not Received
139,2,1,1,5,0,1,6,1,1,0,1,0,Not Received
140,2,7,1,1,2,0,6,3,2,0,1,0,Not Received
141,2,0,1,3,0,1,6,0,5,0,1,0,Received
142,2,1,2,1,0,0,7,2,4,1,2,0,Received
143,1,6,1,6,2,0,4,1,5,0,1,1,Received
144,3,5,1,5,0,0,5,3,4,2,2,1,Received
145,2,1,1,0,2,0,6,4,3,0,1,0,Received
146,2,10,2,5,0,0,7,3,3,0,1,0,Received
147,1,1,1,0,0,0,0,1,1,0,1,0,Not Received
148,2,4,1,6,0,0,1,4,5,0,1,1,Received
149,1,0,1,3,2,1,6,2,4,0,1,0,Received
150,2,1,1,2,2,1,6,0,3,0,1,0,Received
151,1,8,2,7,0,0,6,3,4,5,3,1,Received
152,2,10,2,1,2,0,7,3,1,1,2,0,Not Received
153,1,1,1,3,2,0,6,4,1,0,1,0,Not Received
154,1,0,2,6,0,1,6,0,1,0,1,0,Not Received
155,1,0,2,6,2,0,6,0,1,0,1,0,Not Received
156,2,9,2,5,0,1,6,4,1,0,1,0,Not Received
157,2,9,2,6,2,0,1,3,2,0,1,0,Not Received
158,2,1,1,3,0,0,3,4,3,0,1,0,Received
159,3,0,1,3,0,0,1,4,3,0,1,0,Received
160,3,7,1,7,0,1,6,0,3,0,1,0,Received
161,3,1,1,0,2,1,4,3,4,0,1,0,Received
162,1,9,2,5,2,0,7,0,3,0,1,0,Received
163,2,0,1,6,2,0,7,1,2,0,1,0,Not Received
164,2,9,1,5,2,0,7,3,2,0,1,0,Not Received
165,1,7,1,3,2,0,3,2,1,0,1,0,Not Received
166,3,0,1,2,0,0,9,2,2,1,2,0,Not Received
